+--------+----------------------+----------------------+----------------------+---------------------+-----------------------+----------------------+--------+---------+-----------------------+
| Bin#   |          ZZ          |         ttZ          |        Higgs         |         WZ          |         Other         |        Total         |  data  |  Ratio  |          WWZ          |
| Bin24  |  0.02314 ± 0.004204  |  0.02664 ± 0.008142  |        0 ± 0         |        0 ± 0        |  0.001505 ± 0.003638  |  0.05128 ± 0.009859  | 0 ± 0  |  0 ± 0  |   0.1073 ± 0.06213    |
| Bin25  |  0.01655 ± 0.003612  |  0.04544 ± 0.01051   |        0 ± 0         |  0.04086 ± 0.04086  | -0.001404 ± 0.001404  |   0.1014 ± 0.04237   | 0 ± 0  |  0 ± 0  |    0.1493 ± 0.0761    |
| Bin26  |  0.01895 ± 0.003742  |  0.0235 ± 0.008142   |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.04246 ± 0.008961  | 0 ± 0  |  0 ± 0  |   0.06037 ± 0.04394   |
| Bin27  |  0.01487 ± 0.003382  |  0.03447 ± 0.00799   |        0 ± 0         |        0 ± 0        |     0 ± 0.001985      |   0.04934 ± 0.0089   | 0 ± 0  |  0 ± 0  |   0.05717 ± 0.04394   |
| Bin28  |  0.01401 ± 0.003236  |  0.02037 ± 0.007515  |        0 ± 0         | -0.04086 ± 0.04086  |         0 ± 0         | -0.006485 ± 0.04167  | 0 ± 0  | -0 ± 0  |   0.05546 ± 0.04394   |
| Bin29  | 0.009189 ± 0.002658  |  0.004701 ± 0.00646  |        0 ± 0         |  0.04086 ± 0.04086  |         0 ± 0         |  0.05475 ± 0.04145   | 0 ± 0  |  0 ± 0  |   0.09823 ± 0.06213   |
| Bin30  |  0.01532 ± 0.003358  |  0.01097 ± 0.006069  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.02629 ± 0.006936  | 0 ± 0  |  0 ± 0  |   0.0527 ± 0.04394    |
| Bin31  |  0.01141 ± 0.002953  |  0.02037 ± 0.00646   |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.03178 ± 0.007104  | 0 ± 0  |  0 ± 0  | 0.007873 ± 0.0005129  |
| Bin32  |  0.01424 ± 0.00332   | 0.007834 ± 0.004701  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.02208 ± 0.005755  | 0 ± 0  |  0 ± 0  |   0.05021 ± 0.04393   |
| Bin33  |  0.01206 ± 0.003025  | 0.006268 ± 0.004955  |        0 ± 0         |        0 ± 0        |         0 ± 0         |  0.01833 ± 0.005805  | 0 ± 0  |  0 ± 0  | 0.006118 ± 0.0004589  |
